Time(s),TC9/u,B1V1/u,B2V1/u
4.64,5150.23842134007,5667.470387962935,5301.47389192806
4.65,5150.23842134007,5667.470387962934,5301.47389192806
4.66,5150.23842134007,5667.470387962934,5301.47389192806
4.67,5150.23842134007,5667.470387962934,5301.47389192806
4.68,5150.23842134007,5667.470387962934,5301.47389192806
4.69,5150.23842134007,5667.470387962934,5301.47389192806
4.7,5150.23842134007,5667.470387962934,5301.47389192806
4.71,5150.23842134007,5667.470387962934,5301.47389192806
4.72,5150.23842134007,5667.470387962934,5301.47389192806
4.73,5150.23842134007,5667.470387962934,5301.47389192806
4.74,5150.23842134007,5667.470387962934,5301.47389192806
4.75,5150.23842134007,5667.470387962934,5301.47389192806
4.76,5150.23842134007,5667.470387962934,5301.47389192806
4.7700000000000005,5150.23842134007,5667.470387962934,5301.47389192806
4.78,5150.23842134007,5667.470387962935,5301.47389192806
4.79,5150.23842134007,5667.470387962934,5301.47389192806
4.8,5150.23842134007,5667.470387962934,5301.47389192806
