Time,TC1/v (m3_per_s),TC2/v (m3_per_s),TC3/v (m3_per_s),TC4/v (m3_per_s),TC5/v (m3_per_s),TC9/v (m3_per_s)
1.04,4.60919021626122e-13,5.364773372131982e-13,1.678051205940368e-13,1.3713528208340062e-12,3.3999953628008343e-13,8.934461632784687e-13
1.05,4.609190216310779e-13,5.364773372189743e-13,1.6780512059571793e-13,1.3713528208463487e-12,3.399995362828553e-13,8.93446163286994e-13
1.06,4.609190216350083e-13,5.364773372235539e-13,1.678051205970509e-13,1.3713528208561347e-12,3.3999953628505313e-13,8.934461632937534e-13
1.07,4.609190216381242e-13,5.364773372271853e-13,1.6780512059810781e-13,1.3713528208638948e-12,3.3999953628679564e-13,8.93446163299113e-13
1.08,4.609190216405946e-13,5.364773372300644e-13,1.6780512059894572e-13,1.3713528208700476e-12,3.399995362881776e-13,8.934461633033628e-13
1.09,4.609190216425531e-13,5.364773372323479e-13,1.6780512059961026e-13,1.3713528208749262e-12,3.3999953628927284e-13,8.934461633067326e-13
1.1,4.609190216441067e-13,5.364773372341577e-13,1.678051206001372e-13,1.3713528208787938e-12,3.399995362901416e-13,8.934461633094044e-13
1.11,4.609190216453392e-13,5.36477337235593e-13,1.6780512060055492e-13,1.3713528208818607e-12,3.399995362908304e-13,8.934461633115227e-13
1.12,4.609190216463149e-13,5.364773372367307e-13,1.678051206008861e-13,1.3713528208842924e-12,3.3999953629137654e-13,8.934461633132026e-13
1.1300000000000001,4.609190216470887e-13,5.36477337237633e-13,1.6780512060114868e-13,1.371352820886221e-12,3.3999953629180957e-13,8.934461633145343e-13
1.1400000000000001,4.609190216477032e-13,5.364773372383487e-13,1.6780512060135699e-13,1.3713528208877492e-12,3.3999953629215313e-13,8.934461633155902e-13
1.1500000000000001,4.609190216481905e-13,5.364773372389163e-13,1.6780512060152208e-13,1.3713528208889623e-12,3.399995362924254e-13,8.934461633164275e-13
1.16,4.609190216485758e-13,5.364773372393655e-13,1.678051206016529e-13,1.3713528208899231e-12,3.399995362926412e-13,8.934461633170916e-13
1.17,4.609190216488816e-13,5.364773372397227e-13,1.6780512060175677e-13,1.3713528208906857e-12,3.3999953629281224e-13,8.93446163317618e-13
1.18,4.609190216491253e-13,5.364773372400054e-13,1.6780512060183914e-13,1.37135282089129e-12,3.399995362929481e-13,8.934461633180354e-13
1.19,4.609190216493175e-13,5.364773372402293e-13,1.6780512060190432e-13,1.3713528208917691e-12,3.3999953629305564e-13,8.934461633183662e-13
1.2,4.609190216494692e-13,5.36477337240407e-13,1.6780512060195594e-13,1.3713528208921492e-12,3.399995362931409e-13,8.934461633186287e-13
1.21,4.609190216495904e-13,5.36477337240548e-13,1.6780512060199706e-13,1.3713528208924503e-12,3.399995362932085e-13,8.934461633188369e-13
1.22,4.609190216496866e-13,5.364773372406594e-13,1.6780512060202937e-13,1.3713528208926884e-12,3.39999536293262e-13,8.934461633190019e-13
1.23,4.609190216497624e-13,5.364773372407487e-13,1.678051206020555e-13,1.371352820892878e-12,3.3999953629330464e-13,8.934461633191326e-13
1.24,4.609190216498231e-13,5.364773372408192e-13,1.6780512060207602e-13,1.371352820893028e-12,3.399995362933385e-13,8.934461633192364e-13
1.25,4.609190216498709e-13,5.364773372408745e-13,1.6780512060209213e-13,1.371352820893148e-12,3.3999953629336533e-13,8.934461633193185e-13
1.26,4.609190216499079e-13,5.364773372409186e-13,1.6780512060210493e-13,1.3713528208932417e-12,3.3999953629338663e-13,8.934461633193837e-13
1.27,4.609190216499385e-13,5.364773372409539e-13,1.6780512060211528e-13,1.3713528208933169e-12,3.3999953629340324e-13,8.934461633194354e-13
1.28,4.609190216499623e-13,5.364773372409817e-13,1.6780512060212333e-13,1.3713528208933762e-12,3.399995362934164e-13,8.934461633194765e-13
1.29,4.609190216499818e-13,5.364773372410039e-13,1.6780512060212974e-13,1.3713528208934229e-12,3.3999953629342677e-13,8.93446163319509e-13
1.3,4.609190216499968e-13,5.364773372410212e-13,1.6780512060213482e-13,1.3713528208934609e-12,3.3999953629343555e-13,8.934461633195348e-13
1.31,4.609190216500079e-13,5.364773372410349e-13,1.6780512060213878e-13,1.3713528208934895e-12,3.3999953629344207e-13,8.934461633195552e-13
1.32,4.609190216500172e-13,5.364773372410451e-13,1.6780512060214186e-13,1.3713528208935134e-12,3.399995362934473e-13,8.934461633195715e-13
1.33,4.609190216500251e-13,5.364773372410543e-13,1.678051206021444e-13,1.3713528208935324e-12,3.3999953629345176e-13,8.934461633195842e-13
1.34,4.609190216500311e-13,5.364773372410614e-13,1.678051206021465e-13,1.371352820893547e-12,3.3999953629345504e-13,8.934461633195946e-13
1.35,4.609190216500362e-13,5.364773372410671e-13,1.6780512060214815e-13,1.3713528208935588e-12,3.399995362934576e-13,8.934461633196024e-13
1.36,4.609190216500395e-13,5.364773372410716e-13,1.6780512060214948e-13,1.3713528208935679e-12,3.3999953629345984e-13,8.934461633196088e-13
1.37,4.609190216500434e-13,5.364773372410747e-13,1.6780512060215047e-13,1.3713528208935758e-12,3.399995362934614e-13,8.93446163319614e-13
1.3800000000000001,4.609190216500449e-13,5.364773372410768e-13,1.6780512060215112e-13,1.3713528208935814e-12,3.3999953629346246e-13,8.934461633196184e-13
1.3900000000000001,4.609190216500467e-13,5.364773372410797e-13,1.6780512060215178e-13,1.3713528208935863e-12,3.3999953629346363e-13,8.934461633196213e-13
1.4000000000000001,4.609190216500482e-13,5.364773372410811e-13,1.6780512060215234e-13,1.3713528208935893e-12,3.3999953629346443e-13,8.934461633196238e-13
1.41,4.609190216500488e-13,5.364773372410825e-13,1.6780512060215266e-13,1.371352820893593e-12,3.3999953629346524e-13,8.934461633196258e-13
1.42,4.609190216500507e-13,5.364773372410836e-13,1.678051206021529e-13,1.3713528208935948e-12,3.3999953629346575e-13,8.934461633196273e-13
1.43,4.609190216500507e-13,5.364773372410843e-13,1.6780512060215322e-13,1.3713528208935966e-12,3.39999536293466e-13,8.934461633196287e-13
1.44,4.609190216500513e-13,5.36477337241085e-13,1.6780512060215345e-13,1.3713528208935978e-12,3.3999953629346625e-13,8.934461633196297e-13
1.45,4.609190216500516e-13,5.36477337241086e-13,1.6780512060215367e-13,1.3713528208935992e-12,3.3999953629346666e-13,8.934461633196306e-13
1.46,4.609190216500522e-13,5.364773372410857e-13,1.6780512060215377e-13,1.3713528208935998e-12,3.399995362934669e-13,8.934461633196311e-13
1.47,4.609190216500528e-13,5.36477337241086e-13,1.6780512060215377e-13,1.371352820893601e-12,3.3999953629346716e-13,8.934461633196316e-13
1.48,4.609190216500534e-13,5.364773372410867e-13,1.6780512060215377e-13,1.3713528208936016e-12,3.3999953629346716e-13,8.934461633196319e-13
1.49,4.609190216500528e-13,5.364773372410871e-13,1.67805120602154e-13,1.3713528208936016e-12,3.3999953629346716e-13,8.934461633196322e-13
1.5,4.609190216500534e-13,5.364773372410871e-13,1.678051206021541e-13,1.3713528208936022e-12,3.3999953629346716e-13,8.934461633196325e-13
1.51,4.609190216500534e-13,5.364773372410871e-13,1.67805120602154e-13,1.3713528208936022e-12,3.399995362934673e-13,8.934461633196327e-13
1.52,4.609190216500534e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936028e-12,3.3999953629346746e-13,8.934461633196329e-13
1.53,4.609190216500534e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936028e-12,3.3999953629346746e-13,8.93446163319633e-13
1.54,4.60919021650054e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936028e-12,3.3999953629346746e-13,8.93446163319633e-13
1.55,4.609190216500534e-13,5.364773372410874e-13,1.678051206021542e-13,1.3713528208936028e-12,3.3999953629346746e-13,8.934461633196332e-13
1.56,4.60919021650054e-13,5.364773372410874e-13,1.678051206021542e-13,1.3713528208936034e-12,3.3999953629346746e-13,8.934461633196332e-13
1.57,4.60919021650054e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936028e-12,3.3999953629346746e-13,8.934461633196332e-13
1.58,4.609190216500534e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196332e-13
1.59,4.60919021650054e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196332e-13
1.6,4.609190216500534e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
1.61,4.609190216500534e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
1.62,4.609190216500534e-13,5.364773372410882e-13,1.6780512060215433e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
1.6300000000000001,4.609190216500534e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
1.6400000000000001,4.609190216500534e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
1.6500000000000001,4.609190216500534e-13,5.364773372410882e-13,1.6780512060215433e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
1.6600000000000001,4.60919021650054e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
1.67,4.609190216500534e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
1.68,4.60919021650054e-13,5.364773372410882e-13,1.6780512060215433e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
1.69,4.60919021650054e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
1.7,4.609190216500534e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
1.71,4.60919021650054e-13,5.364773372410882e-13,1.6780512060215433e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
1.72,4.60919021650054e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
1.73,4.609190216500534e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
1.74,4.60919021650054e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936034e-12,3.3999953629346746e-13,8.934461633196334e-13
1.75,4.609190216500534e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936034e-12,3.3999953629346746e-13,8.934461633196334e-13
1.76,4.60919021650054e-13,5.364773372410882e-13,1.6780512060215433e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
1.77,4.60919021650054e-13,5.364773372410874e-13,1.678051206021541e-13,1.3713528208936034e-12,3.3999953629346756e-13,8.934461633196334e-13
