Time,TC1/v (m3_per_s),TC2/v (m3_per_s),TC3/v (m3_per_s),TC4/v (m3_per_s),TC5/v (m3_per_s),TC9/v (m3_per_s)
1.43,4.992033689977525e-13,5.810376260518621e-13,1.8174316442784999e-13,1.2977563453230524e-12,3.217527604196152e-13,8.88506734779858e-13
1.44,4.992033689977519e-13,5.810376260518624e-13,1.817431644278502e-13,1.2977563453230536e-12,3.217527604196152e-13,8.885067347798585e-13
1.45,4.992033689977531e-13,5.810376260518628e-13,1.817431644278502e-13,1.2977563453230542e-12,3.217527604196155e-13,8.885067347798588e-13
1.46,4.992033689977525e-13,5.810376260518631e-13,1.817431644278502e-13,1.297756345323055e-12,3.217527604196156e-13,8.885067347798595e-13
1.47,4.992033689977525e-13,5.810376260518631e-13,1.817431644278502e-13,1.297756345323055e-12,3.217527604196156e-13,8.885067347798597e-13
1.48,4.992033689977525e-13,5.810376260518638e-13,1.8174316442785044e-13,1.297756345323055e-12,3.2175276041961576e-13,8.885067347798598e-13
1.49,4.992033689977531e-13,5.810376260518638e-13,1.8174316442785044e-13,1.297756345323055e-12,3.21752760419616e-13,8.8850673477986e-13
1.5,4.992033689977531e-13,5.810376260518635e-13,1.8174316442785031e-13,1.2977563453230556e-12,3.21752760419616e-13,8.885067347798601e-13
1.51,4.992033689977537e-13,5.810376260518635e-13,1.8174316442785044e-13,1.2977563453230556e-12,3.21752760419616e-13,8.885067347798601e-13
1.52,4.992033689977537e-13,5.810376260518638e-13,1.8174316442785054e-13,1.2977563453230556e-12,3.21752760419616e-13,8.885067347798603e-13
1.53,4.992033689977537e-13,5.810376260518638e-13,1.8174316442785044e-13,1.2977563453230556e-12,3.21752760419616e-13,8.885067347798603e-13
1.54,4.992033689977537e-13,5.810376260518638e-13,1.8174316442785044e-13,1.2977563453230556e-12,3.2175276041961587e-13,8.885067347798603e-13
1.55,4.992033689977531e-13,5.810376260518642e-13,1.8174316442785054e-13,1.2977563453230556e-12,3.21752760419616e-13,8.885067347798603e-13
1.56,4.992033689977537e-13,5.810376260518642e-13,1.8174316442785054e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798603e-13
1.57,4.992033689977531e-13,5.810376260518642e-13,1.8174316442785054e-13,1.2977563453230556e-12,3.21752760419616e-13,8.885067347798603e-13
1.58,4.992033689977537e-13,5.810376260518638e-13,1.8174316442785044e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798603e-13
1.59,4.992033689977531e-13,5.810376260518638e-13,1.8174316442785031e-13,1.2977563453230556e-12,3.2175276041961587e-13,8.885067347798603e-13
1.6,4.992033689977537e-13,5.810376260518642e-13,1.8174316442785044e-13,1.2977563453230562e-12,3.2175276041961587e-13,8.885067347798603e-13
1.61,4.992033689977531e-13,5.810376260518642e-13,1.8174316442785054e-13,1.2977563453230556e-12,3.21752760419616e-13,8.885067347798605e-13
1.62,4.992033689977537e-13,5.810376260518642e-13,1.8174316442785044e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.6300000000000001,4.992033689977531e-13,5.810376260518642e-13,1.8174316442785044e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.6400000000000001,4.992033689977537e-13,5.810376260518642e-13,1.8174316442785054e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.6500000000000001,4.992033689977531e-13,5.810376260518642e-13,1.8174316442785044e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.6600000000000001,4.992033689977537e-13,5.810376260518638e-13,1.8174316442785031e-13,1.2977563453230556e-12,3.21752760419616e-13,8.885067347798605e-13
1.67,4.992033689977531e-13,5.810376260518638e-13,1.8174316442785044e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.68,4.992033689977537e-13,5.810376260518638e-13,1.8174316442785031e-13,1.2977563453230556e-12,3.21752760419616e-13,8.885067347798605e-13
1.69,4.992033689977531e-13,5.810376260518642e-13,1.8174316442785044e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.7,4.992033689977537e-13,5.810376260518642e-13,1.8174316442785054e-13,1.2977563453230556e-12,3.21752760419616e-13,8.885067347798605e-13
1.71,4.992033689977531e-13,5.810376260518642e-13,1.8174316442785044e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.72,4.992033689977537e-13,5.810376260518642e-13,1.8174316442785044e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.73,4.992033689977531e-13,5.810376260518638e-13,1.8174316442785044e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.74,4.992033689977537e-13,5.810376260518638e-13,1.8174316442785031e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.75,4.992033689977531e-13,5.810376260518638e-13,1.8174316442785031e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.76,4.992033689977537e-13,5.810376260518638e-13,1.8174316442785044e-13,1.2977563453230556e-12,3.21752760419616e-13,8.885067347798605e-13
1.77,4.992033689977531e-13,5.810376260518638e-13,1.8174316442785044e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.78,4.992033689977537e-13,5.810376260518642e-13,1.8174316442785054e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.79,4.992033689977531e-13,5.810376260518642e-13,1.8174316442785054e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.8,4.992033689977537e-13,5.810376260518642e-13,1.8174316442785054e-13,1.2977563453230556e-12,3.21752760419616e-13,8.885067347798605e-13
1.81,4.992033689977531e-13,5.810376260518642e-13,1.8174316442785054e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.82,4.992033689977537e-13,5.810376260518638e-13,1.8174316442785044e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.83,4.992033689977531e-13,5.810376260518642e-13,1.8174316442785054e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.84,4.992033689977537e-13,5.810376260518642e-13,1.8174316442785054e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.85,4.992033689977531e-13,5.810376260518642e-13,1.8174316442785054e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
1.86,4.992033689977537e-13,5.810376260518642e-13,1.8174316442785054e-13,1.2977563453230562e-12,3.21752760419616e-13,8.885067347798605e-13
